"Race","County","Candidate","Party","Votes"
"US President and Vice President","Caldwell","Kanye WEST Michelle TIDBALL","Independent","22"
"US President and Vice President","Caldwell","Brock PIERCE Karla BALLARD","Independent","9"
"US President and Vice President","Caldwell","Howie HAWKINS Angela WALKER","WriteIn","3"
"US President and Vice President","Caldwell","Brian CARROLL Amar PATEL","WriteIn","2"
"US President and Vice President","Caldwell","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Caldwell","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Caldwell","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Caldwell","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Caldwell","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Caldwell","President R19 BODDIE Eric C STONEHAM","WriteIn","1"
"US President and Vice President","Caldwell","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Caldwell","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Caldwell","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Calloway","Donald J TRUMP Michael R PENCE","Republican Party","11352"
"US President and Vice President","Calloway","Joseph R BIDEN Kamala D HARRIS","Democratic Party","5797"
"US President and Vice President","Calloway","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","227"
"US President and Vice President","Calloway","Kanye WEST Michelle TIDBALL","Independent","44"
"US President and Vice President","Calloway","Brock PIERCE Karla BALLARD","Independent","27"
"US President and Vice President","Calloway","Howie HAWKINS Angela WALKER","WriteIn","8"
"US President and Vice President","Calloway","Brian CARROLL Amar PATEL","WriteIn","1"
"US President and Vice President","Calloway","Gloria LA RIVA Sunil FREEMAN","WriteIn","1"
"US President and Vice President","Calloway","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Calloway","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Calloway","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Calloway","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Calloway","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Calloway","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Calloway","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Calloway","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Campbell","Donald J TRUMP Michael R PENCE","Republican Party","28482"
"US President and Vice President","Campbell","Joseph R BIDEN Kamala D HARRIS","Democratic Party","19374"
"US President and Vice President","Campbell","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","763"
"US President and Vice President","Campbell","Kanye WEST Michelle TIDBALL","Independent","133"
"US President and Vice President","Campbell","Brock PIERCE Karla BALLARD","Independent","82"
"US President and Vice President","Campbell","Howie HAWKINS Angela WALKER","WriteIn","25"
"US President and Vice President","Campbell","Brian CARROLL Amar PATEL","WriteIn","13"
"US President and Vice President","Campbell","Gloria LA RIVA Sunil FREEMAN","WriteIn","5"
"US President and Vice President","Campbell","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Campbell","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Campbell","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Campbell","Shawn HOWARD Alyssa HOWARD","WriteIn","1"
"US President and Vice President","Campbell","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Campbell","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Campbell","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Campbell","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Carlisle","Donald J TRUMP Michael R PENCE","Republican Party","2159"
"US President and Vice President","Carlisle","Joseph R BIDEN Kamala D HARRIS","Democratic Party","463"
"US President and Vice President","Carlisle","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","15"
"US President and Vice President","Carlisle","Kanye WEST Michelle TIDBALL","Independent","1"
"US President and Vice President","Carlisle","Brock PIERCE Karla BALLARD","Independent","0"
"US President and Vice President","Carlisle","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Carlisle","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Carlisle","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Carlisle","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Carlisle","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Carlisle","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Carlisle","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Carlisle","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Carlisle","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Carlisle","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Carlisle","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Carroll","Donald J TRUMP Michael R PENCE","Republican Party","2954"
"US President and Vice President","Carroll","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1116"
"US President and Vice President","Carroll","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","44"
"US President and Vice President","Carroll","Kanye WEST Michelle TIDBALL","Independent","13"
